Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
BPSL2301; BPSL3369; BPSS1944;	bps00010~Glycolysis_/_Gluconeogenesis	3	36	8.33333333333333	0.829951538034938	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2301; BPSS1719; BPSS1720;	bps00020~Citrate_cycle_(TCA_cycle)	3	24	12.5	0.598102720724596	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL1577; BPSS0976;	bps00030~Pentose_phosphate_pathway	2	29	6.89655172413793	0.878017509497662	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2769; BPSS1682; BPSS1833;	bps00040~Pentose_and_glucuronate_interconversions	3	20	15	0.486260412212028	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0605; BPSL0826; BPSS1688; BPSS1835;	bps00051~Fructose_and_mannose_metabolism	4	24	16.6666666666667	0.386881422843672	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2670; BPSL2769; BPSS1682;	bps00052~Galactose_metabolism	3	15	20	0.329165512459187	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS1833;	bps00053~Ascorbate_and_aldarate_metabolism	1	10	10	0.730565417031743	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL1734; BPSL1883; BPSL2442; BPSL3037; BPSS0484; BPSS0721;	bps00061~Fatty_acid_biosynthesis	6	25	24	0.127249988847811	0.845303497346176	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL0483; BPSL0614; BPSL1535; BPSL1540; BPSL1734; BPSL1883; BPSL3037; BPSS1944;	bps00071~Fatty_acid_degradation	10	29	34.4827586206897	0.00920644391272474	0.122314183411914	0.800960620407052	0.856199283883401	0.782547732581603	0.800960620407052	0.625659293093297
BPSL3239;	bps00130~Ubiquinone_and_other_terpenoid-quinone_biosynthesis	1	15	6.66666666666667	0.851660766621874	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0501; BPSL0502; BPSL1260; BPSL2378; BPSL3122; BPSS1719; BPSS1720; BPSS1897;	bps00190~Oxidative_phosphorylation	8	71	11.2676056338028	0.675727406292493	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0926; BPSL1721; BPSL2214; BPSL2336;	bps00220~Arginine_biosynthesis	4	26	15.3846153846154	0.439768878267756	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL1164; BPSL1416; BPSL2113; BPSL2116; BPSL2356; BPSL2727; BPSL2992; BPSS2126;	bps00230~Purine_metabolism	8	64	12.5	0.568748242079525	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2356; BPSL2992;	bps00240~Pyrimidine_metabolism	2	34	5.88235294117647	0.924288863335548	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL1721; BPSL2214; BPSL2336; BPSS0677;	bps00250~Alanine,_aspartate_and_glutamate_metabolism	4	37	10.8108108108108	0.691375807278626	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0476; BPSL1577; BPSL2219; BPSS0005; BPSS1354; BPSS1355; BPSS1635;	bps00260~Glycine,_serine_and_threonine_metabolism	7	50	14	0.461848462007692	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0346;	bps00261~Monobactam_biosynthesis	1	12	8.33333333333333	0.78777434608583	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0197; BPSL2219; BPSS0913;	bps00270~Cysteine_and_methionine_metabolism	3	43	6.97674418604651	0.903238009991639	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL0483; BPSL0614; BPSL1535; BPSL1540; BPSL1954; BPSL1955; BPSS1448;	bps00280~Valine,_leucine_and_isoleucine_degradation	9	39	23.0769230769231	0.0832880317794651	0.595829765806943	1	1	0.998989765913501	0.998989765913501	1
BPSL0063;	bps00281~Geraniol_degradation	1	10	10	0.730565417031743	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0507; BPSS0414;	bps00290~Valine,_leucine_and_isoleucine_biosynthesis	2	20	10	0.725263901917359	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0346; BPSL0486; BPSL0926;	bps00300~Lysine_biosynthesis	3	18	16.6666666666667	0.425016693566143	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL1535; BPSL1540;	bps00310~Lysine_degradation	4	23	17.3913043478261	0.360156983454947	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2387; BPSS1453; BPSS2307;	bps00330~Arginine_and_proline_metabolism	3	39	7.69230769230769	0.865842667222562	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL3239; BPSS0695; BPSS0697; BPSS1944;	bps00350~Tyrosine_metabolism	4	28	14.2857142857143	0.491238054620612	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2497; BPSL3230; BPSL3231; BPSL3234; BPSL3239; BPSS2307; BPSS2309;	bps00360~Phenylalanine_metabolism	7	40	17.5	0.272139548977357	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS1891; BPSS1892;	bps00361~Chlorocyclohexane_and_chlorobenzene_degradation	2	8	25	0.311791010957292	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL1535; BPSL1540; BPSS0043; BPSS0044; BPSS0046; BPSS0047; BPSS1891; BPSS1892;	bps00362~Benzoate_degradation	10	34	29.4117647058824	0.0215046152872244	0.199992922171187	1	1	0.998989765913501	0.998989765913501	1
BPSS1891; BPSS1892;	bps00364~Fluorobenzoate_degradation	2	8	25	0.311791010957292	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0063; BPSL1535; BPSL1540; BPSS2214; BPSS2307;	bps00380~Tryptophan_metabolism	6	27	22.2222222222222	0.158840798588067	0.923262141793137	1	1	0.998989765913501	0.998989765913501	1
BPSS0485; BPSS2111;	bps00405~Phenazine_biosynthesis	2	4	50	0.139210635712967	0.863105941420398	1	1	0.998989765913501	0.998989765913501	1
BPSL0063;	bps00410~beta-Alanine_metabolism	1	15	6.66666666666667	0.851660766621874	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2227; BPSS1288;	bps00430~Taurine_and_hypotaurine_metabolism	2	12	16.6666666666667	0.477350232902102	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS0913;	bps00450~Selenocompound_metabolism	1	14	7.14285714285714	0.832848168890009	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS1288;	bps00460~Cyanoamino_acid_metabolism	1	9	11.1111111111111	0.696422666678006	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL3089; BPSS1288;	bps00480~Glutathione_metabolism	2	31	6.45161290322581	0.899020516014947	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2410; BPSL2769; BPSS0144; BPSS0419; BPSS1682;	bps00500~Starch_and_sucrose_metabolism	5	25	20	0.24241396968228	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0611;	bps00511~Other_glycan_degradation	1	2	50	0.300540282288811	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0605; BPSL1763; BPSL2670; BPSL2769; BPSS0419; BPSS0420; BPSS0421; BPSS0422; BPSS1682; BPSS1688; BPSS1833; BPSS1835; BPSS2016;	bps00520~Amino_sugar_and_nucleotide_sugar_metabolism	13	48	27.0833333333333	0.0161471310049098	0.166853687050735	1	1	0.998989765913501	0.998989765913501	0.853486954481881
BPSS0425;	bps00540~Lipopolysaccharide_biosynthesis	1	33	3.03030303030303	0.98276055890692	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0605; BPSL2670; BPSL2769; BPSS0419; BPSS0420; BPSS0421; BPSS0422; BPSS1682; BPSS1688; BPSS1833; BPSS1835; BPSS2016;	bps00541~O-Antigen_nucleotide_sugar_biosynthesis	12	23	52.1739130434783	0.000265563411518732	0.00617434931781052	0.0239007070366859	0.0246973972712421	0.0239007070366859	0.0239007070366859	0.0315829196723895
BPSS1741; BPSS2319;	bps00561~Glycerolipid_metabolism	2	18	11.1111111111111	0.674521843363127	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2403;	bps00562~Inositol_phosphate_metabolism	1	16	6.25	0.868358417678646	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL2403; BPSL2525; BPSL3066; BPSL3372;	bps00564~Glycerophospholipid_metabolism	4	26	15.3846153846154	0.439768878267756	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS2021;	bps00600~Sphingolipid_metabolism	1	5	20	0.510835152755938	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSL0062; BPSL0507; BPSL1535; BPSL1540; BPSL1577; BPSL2192; BPSL2301; BPSL3369; BPSS1944;	bps00620~Pyruvate_metabolism	9	58	15.5172413793103	0.336830126411442	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
BPSS1891; BPSS1892;	bps00623~Toluene_degradation	2	5	40	0.180930049987885	0.934805258270741	1	1	0.998989765913501	0.998989765913501	1
BPSS1944;	bps00625~Chloroalkane_and_chloroalkene_degradation	1	11	9.09090909090909	0.760872502631923	0.998989765913501	1	1	0.998989765913501	0.998989765913501	1
