GO:0000034~adenine deaminase activity	add,
GO:0000036~acyl carrier activity	acpP,
GO:0000049~tRNA binding	BPSS1317,ileS2,rplA,rpsL,rpsG,rpsJ,rplP,rplE,rpsM,ettA,dtd,dusB,mnmA,rph,rne,gltX,alaS,thrS,pheS,pheT,typA,dusA,rlmN,BPSL1181,metG,ileS1,ttcA,cca,rnpA,
GO:0000062~fatty-acyl-CoA binding	BPSL2186,
GO:0000104~succinate dehydrogenase activity	BPSS1720,BPSS1719,
GO:0000107~imidazoleglycerol-phosphate synthase activity	hisH,hisF,
GO:0000150~DNA strand exchange activity	BPSS1483,tnpR,BPSL1702,BPSL1696,
GO:0000155~phosphorelay sensor kinase activity	irlS,BPSS2345,BPSS2314,BPSS2246,irlS2,BPSS1940,BPSS1876,BPSS1871,BPSS1794,BPSS1646,BPSS1495,BPSS1460,BPSS1360,BPSS1358,BPSS1160,BPSS0990,BPSS0813,BPSS0706,BPSS0687,BPSS0642,BPSS0631,BPSS0117,BPSS0062,BPSL3427,cheA,glnL,BPSL2313,BPSL2302,BPSL2095,BPSL2025,BPSL1983,BPSL1634,BPSL1365,BPSL1253,kdpD,BPSL1037,BPSL0807,BPSL0774,BPSL0732,BPSL0703,hprK,dctB,BPSL0201,BPSL0127,BPSL0039,
GO:0000156~phosphorelay response regulator activity	cheB2,prpR,cheB1,glnG,phoB,
GO:0000166~nucleotide binding	wcbL,wzt,BPSL0469,dnaK,coaE,irlS,pchG,glnQ,BPSS2325,BPSS2282,lpdV,BPSS2259,BPSS2249,oppD,oppF,BPSS2132,BPSS2102,BPSS2094,BPSS2085,BPSS2069,BPSS2034,irlS2,ackA,atpD2,atpA2,BPSS1938,BPSS1931,cysC,trpS,BPSS1862,BPSS1830,BPSS1788,thrB,BPSS1738,accD,folC,BPSS1671,selB,poxB,BPSS1627,tauB,bsaS,folE,BPSS1502,nadE,BPSS1445,BPSS1426,BPSS1416,sctN,BPSS1317,ileS2,BPSS1307,BPSS1285,xylB,BPSS1236,thiM,BPSS1121,ftsH,BPSS1100,BPSS1096,BPSS1095,ald,BPSS1032,hisP,mgtB,BPSS0951,BPSS0950,BPSS0934,ribA,BPSS0856,rbsK,BPSS0820,BPSS0787,BPSS0706,BPSS0702,BPSS0677,mreB,macB,BPSS0596,pchI,pchH,braG,braF,BPSS0522,BPSS0479,groEL2,potG,acsA,uvrB,BPSS0345,metN2,selD,BPSS0255,BPSS0248,hmuV,BPSS0224,pxpA2,accC,BPSS0195,BPSS0194,BPSS0174,asnO,dbpA,rbsA,BPSS0139,pyk,BPSS0116,dctD,uvrA,BPSL3427,BPSL3418,BPSL3417,BPSL3410,BPSL3409,atpA1,atpD1,priA,BPSL3378,BPSL3358,rep,cheA,flhF,tuf1,recQ,fusA2,engB,aroK,aroB,ugpC,BPSL3155,BPSL3150,BPSL3144,hisG,hisE,clpB,BPSL3093,BPSL3080,ettA,ychF,paaA,murE,murF,murD,murC,ddl,ftsZ,secA,obg,proB,proS,ffh,BPSL2992,mpl,araG,thiL,gapA,leuS,BPSL2929,BPSL2925,gltL,anmK,tyrS,ruvB,ruvA,mnmA,recG,phnN,phnK,phnL,phnC,BPSL2841,glnE,nadK,BPSL2823,BPSL2822,pcnB,purM,miaA,wzt2,BPSL2778,nrdR,BPSL2723,ureG,BPSL2655,BPSL2654,BPSL2617,glk,BPSL2608,BPSL2604,serS,minD,BPSL2566,gmk,gyrA,cmk,metN1,rsgA,BPSL2475,BPSL2474,mobA,moaA,lepA,era,BPSL2409,pdxY,BPSL2370,glnA,glnG,BPSL2313,hscA,lysS,lolD,pyrG,mutS,cysS,accA,tilS,ask,BPSL2214,BPSL2200,gltX,BPSL2187,radA,BPSL2176,smc,pyrH,BPSL2143,ppsA,guaB,guaA,mfd,glnS,alaS,BPSL1999,BPSL1998,BPSL1993,BPSL1989,BPSL1988,valS,BPSL1979,thrS,pheS,pheT,nusA,infB,typA,odhL,BPSL1906,BPSL1887,BPSL1869,ssuB,nodI,cysA,BPSL1833,BPSL1823,BPSL1797,BPSL1784,BPSL1779,cobO,BPSL1739,argG,BPSL1719,BPSL1715,BPSL1664,BPSL1652,BPSL1613,BPSL1609,BPSL1605,BPSL1548,BPSL1546,BPSL1530,purA,hflX,der,hisS,ndk,surE,dnaX,rho,BPSL1466,dnaB,tmk,selO,purL,nnrE,BPSL1412,lon,clpX,ppk,pstB,carB,carA,mdcB,pckG,BPSL1300,cpdA,recD,recB,recC,BPSL1276,BPSL1189,BPSL1181,kdpC,kdpB,upp,purD,nadD,msbA,gluQ,rhlE2,purT,BPSL1109,htpG,parE,uup,BPSL1040,dcd,BPSL1000,metG,panC,BPSL0986,BPSL0978,cysN,BPSL0923,BPSL0922,BPSL0907,ileS1,clpA,fusA1,lpxK,adk,dalK,BPSL0833,BPSL0823,BPSL0802,purK,purC,pykA,pgk,sucD,sucC,BPSL0774,BPSL0712,rhlE1,glpK,BPSL0682,BPSL0681,BPSL0673,glyQ,glyS,BPSL0655,aspS,ubiB,BPSL0609,BPSL0534,hprK,BPSL0529,ispE,prs,coaD,ftsY,BPSL0479,gshB,BPSL0402,cpdB,coaX,BPSL0395,argS,BPSL0375,aceK,bioD,ttcA,silP,gor,ycgR,cca,BPSL0261,BPSL0259,BPSL0258,pxpA1,dppF,dppD,fpr,srkA,metK,hslU,argB,gatB,gatA,gatC,queC,gshA,mnmE,dnaA,gyrB,BPSL0047,BPSL0046,BPSL0039,BPSL0037,gspE,BPSL0001,recA,groEL1,
GO:0000175~3'-5'-exoribonuclease activity	rph,orn,
